response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
20.0133,1.3595,0.1317,0.0025,3.6208,15.0305,200,0.0599
20.0133,1.3660,0.1316,0.0036,3.3315,15.3122,200,0.0600
20.0133,1.3734,0.1316,0.0019,3.4268,15.2111,200,0.0600
20.0133,1.3974,0.1316,0.0024,3.9683,14.6452,200,0.0601
20.0133,1.3648,0.1316,0.0036,3.0160,15.6290,200,0.0601
20.0133,1.3626,0.1316,0.0041,4.1529,14.4938,200,0.0601
20.0134,1.3640,0.1315,0.0036,3.5985,15.0472,200,0.0602
20.0134,1.3721,0.1315,0.0017,3.6747,14.9649,200,0.0602
20.0134,1.3775,0.1315,0.0017,3.9065,14.7276,200,0.0603
20.0134,1.3718,0.1314,0.0288,3.6075,15.0053,200,0.0604
20.0134,1.3638,0.1314,0.0036,3.3370,15.3090,200,0.0604
20.0134,1.3722,0.1314,0.0018,3.6418,14.9976,200,0.0605
20.0134,1.3633,0.1314,0.0038,3.1389,15.5074,200,0.0606
20.0134,1.3631,0.1314,0.0038,3.3056,15.3409,200,0.0606
20.0134,1.3454,0.1313,0.0137,3.3364,15.3178,200,0.0607
20.0134,1.3968,0.1313,0.0024,3.5508,15.0634,200,0.0608
20.0134,1.3697,0.1312,0.0279,3.3806,15.2351,200,0.0608
20.0133,1.3381,0.1312,0.0043,3.4234,15.2475,200,0.0609
20.0134,1.3643,0.1312,0.0036,3.8405,14.8050,200,0.0609
20.0134,1.3969,0.1311,0.0023,3.6992,14.9149,200,0.0610
20.0134,1.3751,0.1311,0.0252,3.7621,14.8510,200,0.0610
20.0134,1.3960,0.1311,0.0025,3.4270,15.1878,200,0.0611
20.0134,1.3583,0.1311,0.0025,3.2049,15.4477,200,0.0611
20.0134,1.3962,0.1310,0.0024,3.5473,15.0676,200,0.0612
20.0135,1.3622,0.1310,0.0039,3.3669,15.2805,200,0.0612
20.0135,1.3958,0.1310,0.0025,3.9028,14.7123,200,0.0613
20.0135,1.3771,0.1310,0.0021,3.5419,15.0923,200,0.0614
20.0135,1.3956,0.1309,0.0025,3.5972,15.0183,200,0.0614
20.0135,1.3362,0.1309,0.0040,3.4090,15.2642,200,0.0615
20.0135,1.3713,0.1309,0.0018,3.5464,15.0940,200,0.0615
20.0135,1.3716,0.1308,0.0019,3.3340,15.3060,200,0.0616
20.0135,1.3393,0.1308,0.0044,3.8875,14.7822,200,0.0617
20.0135,1.3960,0.1308,0.0024,3.8167,14.7985,200,0.0617
20.0135,1.3631,0.1307,0.0036,3.5771,15.0696,200,0.0619
20.0135,1.3613,0.1307,0.0038,4.1249,14.5234,200,0.0619
20.0135,1.3742,0.1307,0.0252,3.5277,15.0863,200,0.0620
20.0135,1.3629,0.1306,0.0036,4.0443,14.6027,200,0.0620
20.0135,1.3390,0.1306,0.0044,3.5789,15.0912,200,0.0620
20.0156,1.3676,0.1306,0.0005,3.6269,15.0206,200,0.0621
20.0158,1.3625,0.1305,0.0036,3.6860,14.9637,200,0.0622
20.0159,1.3628,0.1305,0.0036,3.3540,15.2955,200,0.0623
20.0162,1.3627,0.1304,0.0035,3.9620,14.6879,200,0.0624
20.0163,1.3704,0.1304,0.0018,3.5391,15.1049,200,0.0625
20.0164,1.3704,0.1304,0.0018,3.5955,15.0486,200,0.0625
20.0166,1.3620,0.1303,0.0036,4.5806,14.0704,200,0.0626
20.0166,1.3627,0.1303,0.0036,3.5301,15.1202,200,0.0627
20.0167,1.3563,0.1303,0.0028,3.5273,15.1303,200,0.0627
20.0167,1.3560,0.1302,0.0027,3.4498,15.2082,200,0.0629
20.0169,1.3528,0.1302,0.0048,4.2383,14.4210,200,0.0629
20.0170,1.3553,0.1301,0.0027,3.6499,15.0092,200,0.0630
20.0171,1.3619,0.1301,0.0036,3.5850,15.0666,200,0.0630
20.0172,1.3564,0.1301,0.0025,3.4276,15.2306,200,0.0631
20.0174,1.3416,0.1297,0.0012,3.3663,15.3084,200,0.0631
20.0172,1.3968,0.1298,0.0003,3.7664,14.8538,200,0.0634
20.0172,1.3685,0.1298,0.0288,3.5274,15.0924,200,0.0635
20.0172,1.3625,0.1297,0.0036,3.6780,14.9731,200,0.0636
20.0174,1.3701,0.1297,0.0019,3.7965,14.8489,200,0.0637
20.0175,1.3626,0.1296,0.0036,3.5667,15.0845,200,0.0637
20.0176,1.3939,0.1296,0.0024,3.5338,15.0876,200,0.0638
20.0177,1.3548,0.1296,0.0027,3.3728,15.2874,200,0.0638
20.0178,1.3353,0.1295,0.0044,3.7149,14.9632,200,0.0639
20.0179,1.3750,0.1295,0.0022,3.3075,15.3332,200,0.0639
20.0181,1.3585,0.1295,0.0041,3.5630,15.0926,200,0.0640
20.0181,1.3741,0.1294,0.0020,3.6776,14.9643,200,0.0641
20.0221,1.3632,0.1314,0.0038,4.0860,14.5692,200,0.0605
20.0210,1.3610,0.1304,0.0038,3.4904,15.1658,200,0.0624
20.0251,1.3738,0.1322,0.0018,3.5949,15.0546,200,0.0589
20.0267,1.3995,0.1289,0.0025,3.3150,15.3098,200,0.0575
20.0277,1.3689,0.1179,0.0036,3.5606,15.0946,200,0.0569
20.0258,1.3715,0.1321,0.0280,3.8156,14.8107,200,0.0591
20.0225,1.3951,0.1303,0.0024,3.4948,15.1302,200,0.0626
20.0235,1.3639,0.1307,0.0036,3.2097,15.4464,200,0.0618
20.0231,1.3600,0.1303,0.0040,3.6031,15.0559,200,0.0625
20.0274,1.3725,0.1323,0.0279,3.5490,15.0780,200,0.0587
20.0295,1.3428,0.1174,0.0046,3.0781,15.6040,200,0.0568
20.0283,1.3788,0.1324,0.0253,3.2441,15.3800,200,0.0584
20.0300,1.3432,0.1175,0.0045,3.2156,15.4667,200,0.0569
